syncd7390,python310675,rest_server10600,zebra7356,dockerd738,docker3139808,docker5998,redis-server5806,telemetry10639,dialout_client_10665,Time
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.7,1.5,1.5,Fri 25 Nov 2022 10:26:34 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:26:56 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:27:19 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:27:39 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:28:00 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:28:21 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:28:41 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:29:01 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:29:21 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:29:42 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:30:02 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:30:22 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:30:42 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:31:02 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:31:23 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:31:43 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:32:03 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:32:23 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:32:43 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:33:04 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:33:24 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:33:45 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:34:05 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:34:26 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:34:47 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:35:08 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:35:29 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:35:49 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:36:09 AM UTC
12.8,7.0,2.7,2.6,1.9,1.7,1.7,1.6,1.5,1.5,Fri 25 Nov 2022 10:36:30 AM UTC
